ds	y	pred
2020-09-26	12934.18645	0.299686457
2020-09-27	13172.26321	0.277067006
2020-09-28	7330.495444	0.22937096
2020-09-29	5941.492081	0.239338093
2020-09-30	5927.250219	0.297290373
2020-10-01	5601.052582	0.277958976
2020-10-02	9283.334075	0.350872239
2020-10-03	7764.997769	0.179167259
2020-10-04	12525.42914	0.190661742
2020-10-05	13590.91538	0.277262426
2020-10-06	17978.83017	0.350245231
2020-10-07	15705.31206	0.283787577
2020-10-08	18341.39879	0.314945706
2020-10-09	29497.81735	0.426706249
2020-10-10	30495.82062	0.384980602
2020-10-11	23959.26938	0.339351938
2020-10-12	18587.32254	0.324478029
2020-10-13	13597.81114	0.308011599
2020-10-14	20990.13864	0.391999988
2020-10-15	27329.82069	0.396231259
2020-10-16	16128.01012	0.344349633
2020-10-17	16498.53249	0.313069796
2020-10-18	12873.97124	0.286710105
2020-10-19	11086.37391	0.276171936
2020-10-20	8567.692701	0.239192829
2020-10-21	10764.33239	0.243792048
2020-10-22	15325.19377	0.293985536
2020-10-23	12191.3481	0.231247902
2020-10-24	12665.33759	0.195641444
2020-10-25	12683.54563	0.187518054
2020-10-26	13630.80488	0.24809867
2020-10-27	11342.86648	0.191597224
2020-10-28	11669.59956	0.204764202
2020-10-29	13004.46315	0.220217081
2020-10-30	12175.0762	0.227219293
2020-10-31	13139.49271	0.231940827
2020-11-01	10957.7466	0.208880725
2020-11-02	11273.88588	0.240499494
2020-11-03	10749.34876	0.232610473
2020-11-04	12340.64948	0.227318815
2020-11-05	10991.58658	0.222959814
2020-11-06	12866.59514	0.206624996
2020-11-07	11545.48286	0.218701243
2020-11-08	11180.18292	0.233888671
2020-11-09	12007.56325	0.253171155
2020-11-10	15163.36076	0.262472532
2020-11-11	17379.02267	0.318998001
2020-11-12	22229.60423	0.362097593
2020-11-13	19348.74308	0.331766986
2020-11-14	17078.06918	0.289847445
2020-11-15	17278.01653	0.266047434
2020-11-16	13537.12703	0.296552078
2020-11-17	11954.7882	0.265229861
2020-11-18	16255.77094	0.299949696
2020-11-19	19366.71946	0.296808884
2020-11-20	20656.32192	0.324324433
2020-11-21	21957.18555	0.32080129
2020-11-22	18985.98917	0.296340746
2020-11-23	19308.28798	0.287529642
2020-11-24	17524.74055	0.275757643
2020-11-25	20897.53314	0.298185482
2020-11-26	22244.16128	0.302325181
2020-11-27	18845.62851	0.256635795
2020-11-28	21375.95817	0.289704259
2020-11-29	19714.23387	0.297613047
2020-11-30	18077.92825	0.326747913
2020-12-01	19854.4797	0.276774056
2020-12-02	21744.53399	0.321740468
2020-12-03	24841.94324	0.332920179
2020-12-04	26833.67727	0.320142871
2020-12-05	27490.75157	0.290205341
2020-12-06	25630.58376	0.309070907
2020-12-07	25000.13568	0.331689243
2020-12-08	22828.36251	0.320921764
2020-12-09	24866.62274	0.285047221
2020-12-10	24681.60452	0.317223604
2020-12-11	29721.49616	0.357238757
2020-12-12	27724.55033	0.343037562
2020-12-13	27443.96995	0.330492423
2020-12-14	44787.76813	0.398674821
2020-12-15	37889.63662	0.357048299
2020-12-16	37026.47262	0.381270174
2020-12-17	31253.06155	0.239948823
2020-12-18	31236.856	0.276828279
2020-12-19	30617.23348	0.240739687
2020-12-20	29905.51538	0.264943988
2020-12-21	32490.4316	0.236507001
2020-12-22	30064.07659	0.200511813
2020-12-23	32124.5522	0.173238183
2020-12-24	34524.23906	0.193073695
2020-12-25	30833.32106	0.187076583
2020-12-26	27186.17291	0.17404322
2020-12-27	25417.34873	0.14029207
2020-12-28	25018.67985	0.170393738
2020-12-29	26327.82112	0.203933049
2020-12-30	24545.66367	0.20947239
2020-12-31	18397.50542	0.222808671
2021-01-01	4472.261541	0.107729634
2021-01-02	3919.135889	0.121129219
2021-01-03	3851.938211	0.13237356
2021-01-04	10674.72416	0.185042508
2021-01-05	6065.965198	0.160607932
2021-01-06	5986.843782	0.144470168
2021-01-07	5737.188372	0.135170775
2021-01-08	5746.674108	0.145673505
2021-01-09	5517.531554	0.15700676
2021-01-10	5529.914952	0.171067096
2021-01-11	4006.711306	0.18875542
2021-01-12	4871.61441	0.246003859
2021-01-13	4638.536981	0.229063555
2021-01-14	4782.463529	0.157857919
2021-01-15	4884.937135	0.127003539
2021-01-16	4010.705921	0.099689449
2021-01-17	3697.790233	0.105584782
2021-01-18	3171.796607	0.071839746
2021-01-19	3198.276848	0.076922335
2021-01-20	3524.28027	0.091792475
2021-01-21	3539.488611	0.100981102
2021-01-22	5071.967851	0.124510142
2021-01-23	4671.333323	0.115395884
2021-01-24	3069.037633	0.106380561
2021-01-25	3874.035682	0.099633148
2021-01-26	7764.367196	0.207955051
2021-01-27	6457.517724	0.180087983
2021-01-28	5212.548914	0.133799503
2021-01-29	5160.534262	0.148292822
2021-01-30	4060.99857	0.132450742
2021-01-31	3389.861058	0.144268593
2021-02-01	3960.12473	0.168791535
2021-02-02	4193.243688	0.122213171
2021-02-03	6655.32166	0.116698381
2021-02-04	7324.537158	0.114658861
2021-02-05	6542.808687	0.103150066
2021-02-06	9335.222498	0.164416191
2021-02-07	12464.98659	0.229546762
2021-02-08	3644.843409	0.073438082
2021-02-09	5528.73378	0.110024732
2021-02-10	5478.207242	0.092784179
2021-02-11	5655.37342	0.096686272
2021-02-12	6271.228716	0.100152798
2021-02-13	6952.278631	0.101679699
2021-02-14	6367.058802	0.108719671
2021-02-15	5437.075752	0.106143131
2021-02-16	7873.935392	0.111323843
2021-02-17	9009.280074	0.119520398
2021-02-18	8972.592356	0.12366363
2021-02-19	10513.36466	0.128540628
2021-02-20	14876.08476	0.15808601
2021-02-21	13154.36106	0.141052874
2021-02-22	12477.60912	0.147665088
2021-02-23	12340.21313	0.126739174
2021-02-24	12903.71874	0.135913375
2021-02-25	14731.91899	0.153666983
2021-02-26	15822.78151	0.172012931
2021-02-27	15207.0762	0.147298234
2021-02-28	16332.38572	0.181362792
2021-03-01	17289.06807	0.23234559
2021-03-02	10787.76264	0.152228773
2021-03-03	11051.03234	0.173445656
2021-03-04	13704.68118	0.149330336
2021-03-05	16733.86984	0.16092775
2021-03-06	15619.07597	0.129291635
2021-03-07	14076.16755	0.12403549
2021-03-08	12944.42526	0.139743337
2021-03-09	9207.296419	0.119957024
2021-03-10	14328.06211	0.1353017
2021-03-11	15093.69186	0.148355592
2021-03-12	18869.98974	0.154895746
2021-03-13	24118.59454	0.157868313
2021-03-14	19555.45157	0.16320199
2021-03-15	14790.48202	0.136541104
2021-03-16	16702.76515	0.133721329
2021-03-17	19166.24526	0.150967304
2021-03-18	21814.68042	0.157993704
2021-03-19	21146.8347	0.149804492
2021-03-20	17019.3638	0.136226919
2021-03-21	14646.1393	0.126187085
2021-03-22	15005.17249	0.145453926
2021-03-23	18959.16267	0.152697034
2021-03-24	18464.01113	0.159955741
2021-03-25	22024.19644	0.173955804
2021-03-26	22938.57552	0.175557936
2021-03-27	21987.52936	0.161850331
2021-03-28	21406.72839	0.153990838
2021-03-29	17491.10578	0.166583546
2021-03-30	18075.01478	0.194592243
2021-03-31	18918.88248	0.192338822
2021-04-01	19792.59375	0.165538358
2021-04-02	16834.78369	0.159841094
2021-04-03	14782.83906	0.130939778
2021-04-04	12934.16319	0.126355843
2021-04-05	13838.18444	0.133037719
2021-04-06	17108.97404	0.145221444
2021-04-07	19271.10008	0.157911945
2021-04-08	15919.84105	0.131518935
2021-04-09	16883.1066	0.13220058
2021-04-10	17636.45545	0.121852015
2021-04-11	14483.96553	0.113775616
2021-04-12	14999.21737	0.116163068
2021-04-13	16041.12801	0.114100181
2021-04-14	18152.46299	0.126296342
2021-04-15	16580.46864	0.095934304
2021-04-16	18124.82657	0.131219514
2021-04-17	16539.76541	0.118401665
2021-04-18	13548.47475	0.106431167
2021-04-19	12294.85127	0.12724823
2021-04-20	13540.83807	0.134718621
2021-04-21	18164.83238	0.158830705
2021-04-22	17791.66876	0.156476304
2021-04-23	17099.21846	0.158734692
2021-04-24	16838.19969	0.149260264
2021-04-25	15545.484	0.153248068
2021-04-26	14409.65842	0.165018471
2021-04-27	16777.6166	0.164420173
2021-04-28	14550.39523	0.168385344
2021-04-29	19850.45529	0.199932887
2021-04-30	15987.93306	0.172753071
2021-05-01	15058.23082	0.150532511
2021-05-02	12623.66706	0.137975452
2021-05-03	10382.42563	0.135529539
2021-05-04	10364.61352	0.147669286
2021-05-05	13643.23876	0.17964695
2021-05-06	16398.34924	0.194489312
2021-05-07	15774.17904	0.180564754
2021-05-08	16182.02892	0.15374615
2021-05-09	14696.90919	0.149114914
2021-05-10	11378.30255	0.074870013
2021-05-11	17124.76116	0.145824231
2021-05-12	8826.879945	0.04442687
2021-05-13	20761.28607	0.165463813
2021-05-14	25042.40779	0.186039842
2021-05-15	21559.29893	0.149876052
